VC: 4.22    	  TEMPO: 22920    	  VR: 0.78
VC: 4.23    	  TEMPO: 23022    	  VR: 0.77
VC: 4.24    	  TEMPO: 23126    	  VR: 0.76
VC: 4.24    	  TEMPO: 23228    	  VR: 0.76
VC: 4.25    	  TEMPO: 23330    	  VR: 0.75
VC: 4.26    	  TEMPO: 23434    	  VR: 0.74
VC: 4.27    	  TEMPO: 23536    	  VR: 0.73
VC: 4.28    	  TEMPO: 23640    	  VR: 0.72
VC: 4.28    	  TEMPO: 23742    	  VR: 0.72
VC: 4.29    	  TEMPO: 23845    	  VR: 0.71
VC: 4.30    	  TEMPO: 23948    	  VR: 0.70
VC: 4.31    	  TEMPO: 24051    	  VR: 0.69
VC: 4.31    	  TEMPO: 24154    	  VR: 0.69
VC: 4.32    	  TEMPO: 24256    	  VR: 0.68
VC: 4.33    	  TEMPO: 24359    	  VR: 0.67
VC: 4.33    	  TEMPO: 24462    	  VR: 0.67
VC: 4.34    	  TEMPO: 24565    	  VR: 0.66
VC: 4.35    	  TEMPO: 24668    	  VR: 0.65
VC: 4.35    	  TEMPO: 24771    	  VR: 0.65
VC: 4.36    	  TEMPO: 24873    	  VR: 0.64
VC: 4.36    	  TEMPO: 24976    	  VR: 0.64
VC: 4.37    	  TEMPO: 25079    	  VR: 0.63
